"campusId","distance","duration","legs","originPostcode","postcode","ukprn"
"UCL  Main Campus","0.0","25.0","3","EC3A 3"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","30.0","3","EC3A 4"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","29.0","3","EC3A 5"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","25.0","3","EC3A 6"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","25.0","3","EC3A 7"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","26.0","3","EC3A 8"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","29.0","3","EC3B 0"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","33.0","3","EC3M 1"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","30.0","3","EC3M 2"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","33.0","3","EC3M 3"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","32.0","3","EC3M 4"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","32.0","3","EC3M 5"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","32.0","3","EC3M 6"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","30.0","3","EC3M 7"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","34.0","3","EC3M 8"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","27.0","3","EC3N 1"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","31.0","3","EC3N 2"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","29.0","3","EC3N 3"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","31.0","3","EC3N 4"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","18.0","3","EC3P 3"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","33.0","3","EC3R 5"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","32.0","3","EC3R 6"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","32.0","3","EC3R 7"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","31.0","3","EC3R 8"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","31.0","3","EC3V 0"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","30.0","3","EC3V 1"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","29.0","3","EC3V 3"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","30.0","3","EC3V 4"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","29.0","3","EC3V 9"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","26.0","3","EC4A 1"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","28.0","4","EC4A 2"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","25.0","3","EC4A 3"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","23.0","3","EC4A 4"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","23.0","4","EC4M 4"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","31.0","3","EC4M 5"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","29.0","3","EC4M 6"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","23.0","4","EC4M 7"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","25.0","4","EC4M 8"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","30.0","4","EC4M 9"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","28.0","3","EC4N 1"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","31.0","3","EC4N 4"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","31.0","3","EC4N 5"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","32.0","3","EC4N 6"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","29.0","3","EC4N 7"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","30.0","3","EC4N 8"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","23.0","3","EC4P 4"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","32.0","5","EC4R 0"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","33.0","3","EC4R 1"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","32.0","3","EC4R 2"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","33.0","3","EC4R 3"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","33.0","3","EC4R 9"," WC1E 6BT","10007784"
