id,postcode,latitude,longitude
512,SE15 4,51.4676,-0.0706656
513,SE15 5,51.4736,-0.0715296
514,SE15 6,51.4788,-0.0751978
515,SE15 9,51.4718,-0.0709251
516,SE16 1,51.5003,-0.0416513
517,SE16 2,51.4926,-0.0553913
518,SE16 3,51.491,-0.065916
519,SE16 4,51.4981,-0.0653664
520,SE16 5,51.5017,-0.0485551
521,SE16 6,51.5,-0.0476857
522,SE16 7,51.4962,-0.0497602
523,SE16 9,51.4928,-0.080152
524,SE17 1,51.4908,-0.0933624
525,SE17 2,51.4872,-0.089923
526,SE17 3,51.4872,-0.100202
527,SE17 9,51.4891,-0.0984532
528,SE18 1,51.4869,0.0873246
529,SE18 2,51.4791,0.0862267
530,SE18 3,51.4767,0.069622
531,SE18 4,51.4782,0.0559539
532,SE18 5,51.4908,0.0549191
533,SE18 6,51.4902,0.0681981
534,SE18 7,51.4871,0.0760572
535,SE18 9,51.4898,0.0707737
536,SE19 1,51.422,-0.0836618
537,SE19 2,51.4156,-0.0799932
538,SE19 3,51.4171,-0.0915026
539,SE19 9,51.4189,-0.0833189
540,SE20 7,51.4128,-0.0548644
541,SE20 8,51.4131,-0.0615729
542,SE20 9,51.4152,-0.0537342
543,SE21 7,51.4426,-0.0847015
544,SE21 8,51.4364,-0.0904506
545,SE21 9,51.4364,-0.0871626
546,SE22 0,51.4521,-0.0680877
547,SE22 2,51.4542,-0.0729305
548,SE22 8,51.4554,-0.0765416
549,SE22 9,51.4564,-0.0720791
550,SE23 1,51.4437,-0.04521
551,SE23 2,51.4366,-0.0474858
552,SE23 3,51.4412,-0.0554809
553,SE23 9,51.4367,-0.0532
554,SE24 0,51.4581,-0.102243
555,SE24 4,51.4738,-0.0966232
556,SE24 9,51.4532,-0.0987862
557,SE25 4,51.3988,-0.0717721
558,SE25 5,51.3945,-0.0767433
559,SE25 6,51.4001,-0.0830566
560,SE25 9,51.3995,-0.07999
561,SE26 4,51.4296,-0.052055
562,SE26 5,51.4249,-0.0467567
563,SE26 6,51.428,-0.0623964
564,SE26 9,51.4292,-0.0588435
565,SE27 0,51.4295,-0.104383
566,SE27 7,51.4296,-0.0993727
567,SE27 9,51.4315,-0.0987688
568,SE28 0,51.4976,0.0906697
569,SE28 8,51.5043,0.114298
570,SE28 9,51.4985,0.10445
571,SE99 7,51.4782,-0.0816974
572,SW1A 0,51.4963,-0.128616
573,SW1A 1,51.5026,-0.139057
574,SW1A 2,51.5017,-0.127961
575,SW1E 5,51.4967,-0.141115
576,SW1E 6,51.4969,-0.139112
577,SW1H 0,51.497,-0.135107
578,SW1H 9,51.4984,-0.133798
579,SW1P 1,51.4868,-0.136568
580,SW1P 2,51.4938,-0.133741
581,SW1P 3,51.4955,-0.130299
582,SW1P 4,51.4918,-0.131336
583,SW1P 9,51.4812,-0.135822
584,SW1V 1,51.4933,-0.141082
585,SW1V 2,51.4913,-0.136996
586,SW1V 3,51.4881,-0.137597
587,SW1V 4,51.4902,-0.142732
588,SW1W 0,51.4954,-0.144593
589,SW1W 8,51.4912,-0.150473
590,SW1W 9,51.4936,-0.147255
591,SW1X 0,51.4963,-0.15744
592,SW1X 1,51.4989,-0.148732
593,SW1X 7,51.4993,-0.151741
594,SW1X 8,51.497,-0.151276
595,SW1X 9,51.4966,-0.155403
596,SW1Y 4,51.5057,-0.134194
597,SW1Y 5,51.5046,-0.134311
598,SW1Y 6,51.5052,-0.137327
599,SW2 1,51.456,-0.117371
600,SW2 2,51.4504,-0.116632
601,SW2 3,51.4437,-0.117658
602,SW2 4,51.4465,-0.126989
603,SW2 5,51.4562,-0.123439
604,SW2 9,51.4543,-0.12223
605,SW3 1,51.4955,-0.163978
606,SW3 2,51.4926,-0.164936
607,SW3 3,51.49,-0.166391
608,SW3 4,51.4868,-0.161763
609,SW3 5,51.4851,-0.168587
610,SW3 6,51.4877,-0.170744
611,SW3 9,51.4633,-0.139077
612,SW4 0,51.4643,-0.142671
613,SW4 4,51.4633,-0.139107
614,SW4 6,51.4675,-0.133286
615,SW4 7,51.4619,-0.132766
616,SW4 8,51.4543,-0.135296
617,SW4 9,51.458,-0.142154
618,SW5 0,51.4905,-0.18797
619,SW5 5,51.4847,-0.183629
620,SW5 9,51.4894,-0.19151
621,SW6 1,51.4822,-0.197147
622,SW6 2,51.4748,-0.190053
623,SW6 3,51.4721,-0.199567
624,SW6 4,51.4756,-0.200583
625,SW6 5,51.4771,-0.203017
626,SW6 6,51.4781,-0.211457
627,SW6 7,51.4809,-0.204983
628,SW6 9,51.4793,-0.198377
629,SW7 1,51.4998,-0.169302
630,SW7 2,51.4968,-0.174365
631,SW7 3,51.4928,-0.176704
632,SW7 4,51.4956,-0.182153
633,SW7 5,51.497,-0.179587
634,SW7 9,51.498,-0.17453
635,SW8 1,51.4791,-0.122953
636,SW8 2,51.4766,-0.129394
637,SW8 3,51.4708,-0.144354
638,SW8 4,51.4764,-0.138235
639,SW8 5,51.4801,-0.134547
640,SW8 9,51.4757,-0.130378
641,SW9 0,51.4726,-0.115449
642,SW9 1,51.4687,-0.113587
643,SW9 6,51.4741,-0.109921
644,SW9 7,51.468,-0.110009
645,SW9 8,51.4634,-0.112191
646,SW9 9,51.4676,-0.120354
647,SW10 0,51.4818,-0.181632
648,SW10 1,51.4848,-0.183635
649,SW10 9,51.4858,-0.184354
650,SW11 1,51.4624,-0.167303
